name,affiliations,author_id,cited_by,interests
Hideo Joho,"Professor, Institute of Library, Information and Media Science, University of Tsukuba",8W8gwisAAAAJ,3885,"Information Retrieval, Interactive Information Retrieval, Human Information Interaction, User"
J. Shane Culpepper,The University of Queensland,OFlBSEEAAAAJ,3159,"Information Retrieval, Search, Algorithms, Machine Learning"
Jan Wielemaker,"Researcher in Computer Science, VU University Amsterdam",7J1vJdEAAAAJ,5062,"Logic programming, Semantic web"
Joel Mackenzie,The University of Queensland,3jQ1Zh4AAAAJ,640,"Information Retrieval, Web Search, Algorithms, Information Systems"
Johanne R. Trippas,"Vice-Chancellor's Research Fellow, School of Computing Technologies, RMIT University",x483lssAAAAJ,976,"Information Retrieval, Conversational Interfaces, Spoken Interaction Design, Conversational Search, Human Computer Interaction"
Jonathon Hare,"Professor of Machine Learning and Computer Vision, University of Southampton, United …",UFeON5oAAAAJ,4506,"Deep Learning, Representation Learning, Machine Learning, Computer Vision"
Jorge Carrillo-de-Albornoz,"Researcher in Computer Science, UNED",8yHMQqoAAAAJ,1385,"Sentiment Analysis, Opinion Mining, Online Reputation Management, Negation Detection, Natural Language Processing"
Julio Gonzalo,"Full professor of Computer Science, UNED",opFCmpYAAAAJ,6082,"Natural Language Processing, Information Retrieval, Artificial Intelligence"
Karl Aberer,"Professor of Computer and Communication Sciences, EPFL",ifU81ikAAAAJ,23830,"Social Media, Data Management, Data Integration, Trust Management, Semantic Web"
Kevin Roitero,University of Udine,1xd52jMAAAAJ,691,"Artificial Intelligence, Crowdsourcing and Human Computation, Information Retrieval"
Laura Sbaffi,"Senior Lecturer, Information School, University of Sheffield",TMKfR4AAAAAJ,3379,"Social care, trust in information, information literacy"
Lawrence Cavedon,"School of Computing Technologies, RMIT University",ZAEiiEUAAAAJ,5897,"Data Science, artificial intelligence, spoken dialogue, biomedical text mining"
Lei Han,The University of Queensland,Oibami4AAAAJ,230,
Luca Di Gaspero,"Associate Professor of Information Technology, University of Udine",fIES7P0AAAAJ,3658,"Artificial Intelligence, Operations Research, Data Analytics, Metaheuristics"
Luca Vassena,Università di Udine,dCBk3oIAAAAJ,359,"mobile, ir, context"
Luis-Daniel Ibáñez,University of Southampton,Vf-AkkUAAAAJ,691,"Linked Data, Collaborative Systems, Optimistic Replication, Provenance Semirings, Update Exchange"
Maarten de Rijke,University of Amsterdam & ICAI,AVDkgFIAAAAJ,36775,Information retrieval
Marco Basaldella,Amazon,SRvx2QoAAAAJ,518,
Marco Pavan,"PhD in Computer Science, University of Udine",-UudVuUAAAAJ,112,"Data Mining, Information Retrieval, Artificial intelligence"
Mark Sanderson,"School of Computing Technologies, RMIT University",HmqvvQkAAAAJ,13364,"Information Retrieval, Data Analysis, Recommender Systems"
Mattia Zeni,"Databricks, TomTom, IBM Research, University of Trento, Create-net",DL18RZEAAAAJ,608,"Big Data, AI, Machine Learning, Human-Centered AI, Privacy-Aware Machine Learning"
Michael Soprano,Postdoctoral Research Fellow at the University of Udine,ocK0qRUAAAAJ,210,"Crowdsourcing, Misinformation Assessment, Cognitive Biases"
Michele Catasta,VP of AI at Replit,ZxfOSWMAAAAJ,6005,"Large Language Models, AI4Code, Machine Learning, Information Retrieval, Data Science"
Mihai Horia Popescu,PhD student,7VIbKlEAAAAJ,46,"Machine learning, medical informatics, Explainable Artificial Intelligence (XAI)"
Mounia Lalmas,Spotify,wAr9G5sAAAAJ,10828,Personalization.
Omar Alonso,Amazon,VvLUqbkAAAAJ,4296,"Information Retrieval, Crowdsourcing, Social search, Knowledge graphs"
Paolo Coppola,"Associate Professor of Computer Science, University of Udine",P15-SKkAAAAJ,533,"Type theory, lambda calculus, computational complexity, context aware computing, mobile computing"
Pavlos Vougiouklis,Huawei Technologies,9J7YeR0AAAAJ,581,
Peter A Bath,University of Sheffield,-ExSN_IAAAAJ,7123,"Health Informatics, Health Data Science, Information behaviours, Older people, online sharing"
Philippe Cudre-Mauroux,"Full Professor (Computer Science), U. of Fribourg–Switzerland",NpccCXwAAAAJ,9309,"Big Data, Graph Data, Infrastructures for AI, Emergent Semantics"
Raquel Martinez,"Full Professor of Computer Science, UNED University",m0-0QxgAAAAJ,1195,"Natural Language Processing, Document Clustering, Multilinguality, Person name desambiguation, Document representation"
Richard Gomer,University of Southampton,5ZTLglQAAAAJ,282,"privacy, consent, interaction, hci, web science"
Rishabh Mehrotra,"Director - Machine Learning, ShareChat",X9BKWWoAAAAJ,2268,"Machine Learning, Recommender Systems, Marketplace"
Ryen W. White,"General Manager, Deputy Lab Director, Microsoft Research",U69fiZMAAAAJ,20328,"Information Retrieval, Human-Computer Interaction, Artificial Intelligence, Psychology, Health"
Shaoyang Fan,The University of Queensland,uF87D5kAAAAJ,80,"Crowdsourcing, Human computation, Information Retrieval, Data Mining"
Shazia Sadiq,The University of Queensland,1Jo0EmIAAAAJ,10235,"Data Quality Management, Business Process Management, … Risk and Compliance in Information Systems, Service Systems"
Stefano Mizzaro,Full professor of Computer Science and Information Technology,2wvJC6IAAAAJ,4742,"Information retrieval, mobile systems, scholarly publishing, crowdsourcing, misinformation and fake news detection"
Tereza Iofciu,L3S,wQgkh-4AAAAJ,1214,"machine learning, artificial intelligence, data science"
Tetsuya Sakai,Waseda University,vi56gz4AAAAJ,6616,"information retrieval, natural language processing, human computer interaction"
Tim Draws,OTTO,UTMHOZMAAAAJ,1203,"Human-Computer Interaction, Web Search, Research Methods"
Ujwal Gadiraju,"Assistant Professor, Web Information Systems, Delft University of Technology",FX7BF6QAAAAJ,3263,"Human-centered AI, Crowd Computing, Human-Computer Interaction, Information Retrieval, Conversational Interfaces"
Vincenzo Della Mea,"Associate Professor of Medical Informatics, University of Udine",BF3B4KAAAAAJ,2890,"medical informatics, telemedicine, digital pathology, biomedical classifications and ontologies"
Víctor Fresno,Associate Professor of Computer Science (UNED),X_95ZxEAAAAJ,1555,"Document Representation, Natural Language Processing, Machine Learning, Compositional Distributional Semantics"
W. Bruce Croft,"Distinguished Professor Emeritus, University of Massachusetts Amherst",ArV74ZMAAAAJ,64186,Information Retrieval
Wolfgang Nejdl,"… of Computer Science, Leibniz Universität Hannover, L3S Research Center, Hannover …",LC62bdYAAAAJ,25455,"Information Retrieval, Web Science, Social Media, Data Mining, Semantic Technologies"
Yongli Ren,"School of Computing Technologies, RMIT University",ZZl7bW8AAAAJ,1270,"Recommender System, Data Mining, Fog Computing, Data Science, Data Analysis"
Yunke Qu,The University of Queensland,oup2M48AAAAJ,11,"Recommender Systems, Data Mining, Information Retrieval"
